horizon,mse,rmse,mae,mape,mdape,smape,coverage,dias_no_futuro,data_no_futuro
69 days,218.7574776586288,14.790452246588973,10.367100321403495,0.11556018993649368,0.08724956485162502,0.1164468228602351,0.7769423558897243,69,2024-09-15
70 days,225.37867177859218,15.012617086257551,10.607397568957001,0.11895507625980042,0.0909912481489313,0.1194086364128394,0.7866541353383459,70,2024-09-16
71 days,230.18402643061842,15.171816846726644,10.88616959029926,0.12207537589845155,0.09487090981648029,0.12325932741260685,0.7916666666666666,71,2024-09-17
72 days,233.52781926497215,15.28161703698179,11.039422949074892,0.12345853352056749,0.09637348874378451,0.1256029084410052,0.793233082706767,72,2024-09-18
73 days,238.52387863128757,15.444218291363521,11.180425842948354,0.12555423125406687,0.09649134028436215,0.12737801485432304,0.7991854636591479,73,2024-09-19
74 days,241.82045489334502,15.55057731704341,11.271507785787094,0.12742817817293797,0.09487090981648029,0.12882499362224006,0.8118386243386243,74,2024-09-20
75 days,229.56699159859167,15.151468298438658,10.737760040969237,0.12163983600889214,0.08492066782246588,0.12286349236843692,0.8424185463659147,75,2024-09-21
76 days,218.08590482188131,14.767731878046856,10.45934339232014,0.1187817356964046,0.0822264138453252,0.11939854854762381,0.8657738095238094,76,2024-09-22
77 days,226.10510045388904,15.036791561163872,10.758558384490588,0.12219216165710059,0.08319925851654653,0.12262454167100803,0.8703007518796992,77,2024-09-23
78 days,238.7356945987335,15.451074221513968,11.052688625699407,0.12437720192895838,0.08371171384200629,0.12575145661613685,0.8650793650793651,78,2024-09-24
79 days,249.03195892430455,15.780746462835799,11.298137500403321,0.12606867969568142,0.08515274060827101,0.12815480676335828,0.8644179894179894,79,2024-09-25
80 days,280.4142995712761,16.74557552224695,11.952447865509619,0.13250070407854678,0.09168448843072247,0.13424767792259734,0.8540100250626568,80,2024-09-26
81 days,298.86891288190446,17.28782556835603,12.250480582854994,0.13522869913505609,0.09168448843072247,0.13692453180424635,0.8549498746867167,81,2024-09-27
82 days,294.67501706237044,17.16610081126085,11.903031126650285,0.13078677258148652,0.08616307338109974,0.13217936150392035,0.8668546365914787,82,2024-09-28
83 days,284.292881935789,16.860986979883148,11.561833001262181,0.1268853290786795,0.08564334974125062,0.1276847658763942,0.8781328320802004,83,2024-09-29
84 days,299.8581933141028,17.31641398540999,11.928839226253242,0.1310508622874451,0.08924880815386474,0.13177866816904818,0.8764880952380952,84,2024-09-30
85 days,310.9325506012897,17.633279632595002,12.232771795912258,0.13364005687356587,0.09441267983452377,0.13559888896754624,0.8703007518796992,85,2024-10-01
86 days,310.11742567521935,17.610151211026537,12.251146109885358,0.1331056123571341,0.09671553263057256,0.13587506974458458,0.8699874686716792,86,2024-10-02
87 days,324.5848884597756,18.016239575998526,12.560501655750308,0.13719412667851832,0.10074724901309765,0.13898575119740886,0.8700396825396824,87,2024-10-03
88 days,327.2170731353342,18.08914241016788,12.571130222270178,0.13821003006129085,0.10079119024618435,0.13929482276396316,0.8703007518796992,88,2024-10-04
89 days,299.2974713240794,17.300215932874348,11.844017563752892,0.13114788058952317,0.10079119024618435,0.1314987405485992,0.8887844611528822,89,2024-10-05
90 days,286.04797846124575,16.91295297874519,11.524063208665634,0.12847983168771768,0.10023994286377211,0.12769139347984967,0.8994047619047618,90,2024-10-06
